,,"--- Generated 2023-10-10 20:05:53.008713 (UTC) - ALL RIGHTS RESERVED. DO NOT DISTRIBUTE UNLESS WITH EXPLICIT PERMISSION. You may be eligible to use this work under https://words.hk/base/hoifong/ , otherwise please contact email (info at words.hk) for licensing or collaboration enquiries. Although you are not required to notify us when using this CSV (as long as you obtain a permission under the license above), you may want to let us know (via the email above) so that we can notify you when we make significant changes to the format of this file. "
""
石灰,['名詞'],
石,['名詞'],
石,['名詞'],
石,['語素'],
石,['名詞'],
尋租,['名詞'],
爛市,['形容詞'],
獨市,['名詞'],
樓市,['名詞'],
炒賣,['動詞'],
風險,['名詞'],
投機,['動詞'],
淡友,['名詞'],
賭注,['名詞'],
賭具,['名詞'],
賭本,['名詞'],
十賭九輸,['語句'],
賭,['動詞'],
賭博,['名詞'],
賭錢,['動詞'],
投資,['動詞'],
沙漠,['名詞'],
礦,['名詞'],
鐵礦,['名詞'],
煤礦,['名詞'],
金礦,['名詞'],
礦石,['名詞'],
唔少,['數詞'],
制訂 / 制定,['動詞'],
既有,['區別詞'],旣有
林審 / 淋糝,['形容詞'],
零舍 / 寧舍,['副詞'],
宏偉,['形容詞'],
定食,['名詞'],
依泣 / 依挹,['動詞'],
發揮,['動詞'],
兒童,['名詞'],
洪門子弟,['名詞'],
洪門,['名詞'],
乞嚏 / 乞嗤,['名詞'],
乞討,['動詞'],
乞,['動詞'],
行乞,['動詞'],
乞超,['擬聲詞'],
有早知冇乞兒 / 有早知冇乞衣,['語句'],
打乞嗤 / 打乞嚏,['動詞'],
乞丐,['名詞'],
乞兒 / 乞衣,['名詞'],
乞食科,['名詞'],
大眼乞兒,['名詞'],
乞米,['動詞'],
乞食,['動詞'],
忠忠直直終須乞食,['語句'],
掌控,['動詞'],
掌控,['名詞'],
屆,['語素'],
太空咭 / 太空卡,['名詞'],
電話卡 / 電話咭,['名詞'],
針卡 / 針咭,['名詞'],
邊界,['名詞'],
龍種,['名詞'],
學前班,['名詞'],
playgroup,['名詞'],
N班,['名詞'],
學前,['區別詞'],
氣概,['名詞'],氣槪
老態龍鍾,['形容詞'],
廣傳,['動詞'],
兒歌,['名詞'],
童謠,['名詞'],
苗圃,['名詞'],
幼兒園,['名詞'],
孖,['區別詞'],
門聯,['名詞'],
春聯,['名詞'],
對聯,['名詞'],
對仗,['動詞'],
一字排開,['語句'],
麪粉,['名詞'],麵粉
達,['語素'],
四通八達,['形容詞'],
送達,['動詞'],
達到,['動詞'],
截停,['動詞'],
花豹,['名詞'],
花令紙,['名詞'],
搜身,['動詞'],
勇者,['名詞'],
真相大白,['語句'],眞相大白
久不久,['副詞'],
間唔時,['副詞'],
耐唔時,['副詞'],
窮追猛打,['動詞'],
肥雞餐,['名詞'],肥鷄餐
番薯糖水,['名詞'],
低筋,['區別詞'],
任重道遠,['形容詞'],
槍林彈雨,['名詞'],
蠶豆症,['名詞'],
集腋成裘,['動詞'],
完成,['動詞'],
玩完,['動詞'],
背書,['動詞'],
忍,['動詞'],
倫敦金,['名詞'],
常餐,['名詞'],
講,['動詞'],
縱壞,['動詞'],
世界衞生組織,['名詞'],世界衛生組織
告一段落,['語句'],吿一段落
口哨,['名詞'],
吹口哨,['動詞'],
救世軍,['名詞'],
金獅,['名詞'],
滋悠淡定 / 滋油淡定,['形容詞'],
劉關張,['名詞'],
事故,['名詞'],
舉一反三,['動詞'],
粗茶淡飯,['名詞'],
過橋米線,['名詞'],
鮑參翅肚,['名詞'],
大喉,['名詞'],
老麥,['名詞'],
麥當勞,['名詞'],
超市,['名詞'],
退而求其次,['語句'],
間選,['名詞'],
次選,['名詞'],
彈劾,['動詞'],
公報私仇,['動詞'],
引咎辭職,['動詞'],
彈app,['動詞'],
rapper,['名詞'],
抽油煙機,['名詞'],
菜膽,['名詞'],
大白鯊,['名詞'],
大白象,['名詞'],
茶煲,['名詞'],
煲,['動詞'],
排屋,['名詞'],
十架,['名詞'],
期權,['名詞'],
期權金,['名詞'],
南獅,['名詞'],
姐手姐腳,['形容詞'],
收夠籌,['動詞'],
銅仙,['名詞'],
五金,['名詞'],
焫 / 辣,['動詞'],
焫 / 辣,['形容詞'],
佗手掕腳 / 陀手掕腳,['形容詞'],
阻手阻腳,['形容詞'],
老千,['名詞'],
黑金,['名詞'],
債市,['名詞'],
匯市,['名詞'],滙市
債權人,['名詞'],
童書,['名詞'],
貔貅,['名詞'],
採青,['動詞'],
cue / Q,['量詞'],
支票,['名詞'],
話語權,['名詞'],
